"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 17 06:41:12 GMT 2022","Thu Mar 17 06:41:12 GMT 2022","538","firefox","removing_questions.spec.js","User can remove saved questions","","","Removing empty list",""
"passed","Thu Mar 17 06:41:01 GMT 2022","Thu Mar 17 06:41:01 GMT 2022","331","chromium","reviewing_questions.spec.js","User can review saved questions","","","Hiding answer after expanding it",""
"passed","Thu Mar 17 06:41:02 GMT 2022","Thu Mar 17 06:41:03 GMT 2022","728","chromium","sorting_questions.spec.js","User can sort existent questions","","","Alphabetical sorting",""
"passed","Thu Mar 17 06:41:06 GMT 2022","Thu Mar 17 06:41:07 GMT 2022","560","firefox","counting_questions.spec.js","User can see the number of the saved questions","","","No questions",""
"passed","Thu Mar 17 06:41:24 GMT 2022","Thu Mar 17 06:41:24 GMT 2022","509","webkit","creating_questions.spec.js","User can save new question in the list","","","Answer field is required",""
"passed","Thu Mar 17 06:41:11 GMT 2022","Thu Mar 17 06:41:12 GMT 2022","698","firefox","removing_questions.spec.js","User can remove saved questions","","","Removing multiple questions",""
"passed","Thu Mar 17 06:41:13 GMT 2022","Thu Mar 17 06:41:14 GMT 2022","917","firefox","reviewing_questions.spec.js","User can review saved questions","","","Reviewing answer within multiple questions",""
"passed","Thu Mar 17 06:41:32 GMT 2022","Thu Mar 17 06:41:34 GMT 2022","1326","webkit","sorting_questions.spec.js","User can sort existent questions","","","Numerical sorting",""
"passed","Thu Mar 17 06:41:24 GMT 2022","Thu Mar 17 06:41:25 GMT 2022","938","webkit","creating_questions.spec.js","User can save new question in the list","","","Adding more questions to the list",""
"passed","Thu Mar 17 06:41:00 GMT 2022","Thu Mar 17 06:41:01 GMT 2022","274","chromium","reviewing_questions.spec.js","User can review saved questions","","","Reviewing pre-saved question",""
"passed","Thu Mar 17 06:40:58 GMT 2022","Thu Mar 17 06:40:58 GMT 2022","230","chromium","creating_questions.spec.js","User can save new question in the list","","","Question field is required",""
"passed","Thu Mar 17 06:41:10 GMT 2022","Thu Mar 17 06:41:11 GMT 2022","569","firefox","removing_questions.spec.js","User can remove saved questions","","","Removing single question",""
"passed","Thu Mar 17 06:40:57 GMT 2022","Thu Mar 17 06:40:57 GMT 2022","313","chromium","counting_questions.spec.js","User can see the number of the saved questions","","","No questions",""
"passed","Thu Mar 17 06:41:26 GMT 2022","Thu Mar 17 06:41:27 GMT 2022","798","webkit","removing_questions.spec.js","User can remove saved questions","","","Removing multiple questions",""
"passed","Thu Mar 17 06:41:08 GMT 2022","Thu Mar 17 06:41:09 GMT 2022","533","firefox","creating_questions.spec.js","User can save new question in the list","","","Answer field is required",""
"passed","Thu Mar 17 06:41:14 GMT 2022","Thu Mar 17 06:41:15 GMT 2022","618","firefox","showing_tooltips.spec.js","User can see informers while using interface","","","Questions tooltip",""
"passed","Thu Mar 17 06:40:58 GMT 2022","Thu Mar 17 06:40:58 GMT 2022","233","chromium","creating_questions.spec.js","User can save new question in the list","","","Answer field is required",""
"passed","Thu Mar 17 06:41:28 GMT 2022","Thu Mar 17 06:41:28 GMT 2022","589","webkit","reviewing_questions.spec.js","User can review saved questions","","","Reviewing pre-saved question",""
"passed","Thu Mar 17 06:41:16 GMT 2022","Thu Mar 17 06:41:17 GMT 2022","1140","firefox","sorting_questions.spec.js","User can sort existent questions","","","Alphabetical sorting",""
"passed","Thu Mar 17 06:40:56 GMT 2022","Thu Mar 17 06:40:57 GMT 2022","590","chromium","counting_questions.spec.js","User can see the number of the saved questions","","","One or more questions",""
"passed","Thu Mar 17 06:41:17 GMT 2022","Thu Mar 17 06:41:18 GMT 2022","1017","firefox","sorting_questions.spec.js","User can sort existent questions","","","Numerical sorting",""
"passed","Thu Mar 17 06:41:12 GMT 2022","Thu Mar 17 06:41:13 GMT 2022","649","firefox","reviewing_questions.spec.js","User can review saved questions","","","Reviewing pre-saved question",""
"passed","Thu Mar 17 06:41:19 GMT 2022","Thu Mar 17 06:41:22 GMT 2022","2092","webkit","counting_questions.spec.js","User can see the number of the saved questions","","","One or more questions",""
"passed","Thu Mar 17 06:41:00 GMT 2022","Thu Mar 17 06:41:00 GMT 2022","292","chromium","removing_questions.spec.js","User can remove saved questions","","","Removing empty list",""
"passed","Thu Mar 17 06:41:08 GMT 2022","Thu Mar 17 06:41:08 GMT 2022","452","firefox","creating_questions.spec.js","User can save new question in the list","","","Question field is required",""
"passed","Thu Mar 17 06:41:25 GMT 2022","Thu Mar 17 06:41:26 GMT 2022","820","webkit","creating_questions.spec.js","User can save new question in the list","","","Creating first question",""
"passed","Thu Mar 17 06:41:09 GMT 2022","Thu Mar 17 06:41:10 GMT 2022","797","firefox","creating_questions.spec.js","User can save new question in the list","","","Adding more questions to the list",""
"passed","Thu Mar 17 06:40:59 GMT 2022","Thu Mar 17 06:40:59 GMT 2022","425","chromium","creating_questions.spec.js","User can save new question in the list","","","Creating first question",""
"passed","Thu Mar 17 06:41:30 GMT 2022","Thu Mar 17 06:41:30 GMT 2022","518","webkit","showing_tooltips.spec.js","User can see informers while using interface","","","Questions tooltip",""
"passed","Thu Mar 17 06:41:00 GMT 2022","Thu Mar 17 06:41:00 GMT 2022","370","chromium","removing_questions.spec.js","User can remove saved questions","","","Removing multiple questions",""
"passed","Thu Mar 17 06:41:22 GMT 2022","Thu Mar 17 06:41:22 GMT 2022","635","webkit","counting_questions.spec.js","User can see the number of the saved questions","","","No questions",""
"passed","Thu Mar 17 06:41:04 GMT 2022","Thu Mar 17 06:41:06 GMT 2022","2140","firefox","counting_questions.spec.js","User can see the number of the saved questions","","","One or more questions",""
"passed","Thu Mar 17 06:41:10 GMT 2022","Thu Mar 17 06:41:10 GMT 2022","744","firefox","creating_questions.spec.js","User can save new question in the list","","","Creating first question",""
"passed","Thu Mar 17 06:41:02 GMT 2022","Thu Mar 17 06:41:02 GMT 2022","281","chromium","showing_tooltips.spec.js","User can see informers while using interface","","","Question maker tooltip",""
"passed","Thu Mar 17 06:41:29 GMT 2022","Thu Mar 17 06:41:30 GMT 2022","619","webkit","reviewing_questions.spec.js","User can review saved questions","","","Hiding answer after expanding it",""
"passed","Thu Mar 17 06:41:03 GMT 2022","Thu Mar 17 06:41:04 GMT 2022","281","chromium","sorting_questions.spec.js","User can sort existent questions","","","Empty list sorting",""
"passed","Thu Mar 17 06:41:18 GMT 2022","Thu Mar 17 06:41:18 GMT 2022","643","firefox","sorting_questions.spec.js","User can sort existent questions","","","Empty list sorting",""
"passed","Thu Mar 17 06:41:34 GMT 2022","Thu Mar 17 06:41:34 GMT 2022","557","webkit","sorting_questions.spec.js","User can sort existent questions","","","Empty list sorting",""
"passed","Thu Mar 17 06:41:28 GMT 2022","Thu Mar 17 06:41:29 GMT 2022","782","webkit","reviewing_questions.spec.js","User can review saved questions","","","Reviewing answer within multiple questions",""
"passed","Thu Mar 17 06:41:23 GMT 2022","Thu Mar 17 06:41:24 GMT 2022","459","webkit","creating_questions.spec.js","User can save new question in the list","","","Question field is required",""
"passed","Thu Mar 17 06:41:01 GMT 2022","Thu Mar 17 06:41:01 GMT 2022","418","chromium","reviewing_questions.spec.js","User can review saved questions","","","Reviewing answer within multiple questions",""
"passed","Thu Mar 17 06:40:59 GMT 2022","Thu Mar 17 06:41:00 GMT 2022","300","chromium","removing_questions.spec.js","User can remove saved questions","","","Removing single question",""
"passed","Thu Mar 17 06:41:26 GMT 2022","Thu Mar 17 06:41:26 GMT 2022","573","webkit","removing_questions.spec.js","User can remove saved questions","","","Removing single question",""
"passed","Thu Mar 17 06:40:58 GMT 2022","Thu Mar 17 06:40:59 GMT 2022","406","chromium","creating_questions.spec.js","User can save new question in the list","","","Adding more questions to the list",""
"passed","Thu Mar 17 06:41:15 GMT 2022","Thu Mar 17 06:41:16 GMT 2022","559","firefox","showing_tooltips.spec.js","User can see informers while using interface","","","Question maker tooltip",""
"passed","Thu Mar 17 06:41:27 GMT 2022","Thu Mar 17 06:41:28 GMT 2022","572","webkit","removing_questions.spec.js","User can remove saved questions","","","Removing empty list",""
"passed","Thu Mar 17 06:41:31 GMT 2022","Thu Mar 17 06:41:32 GMT 2022","1379","webkit","sorting_questions.spec.js","User can sort existent questions","","","Alphabetical sorting",""
"passed","Thu Mar 17 06:41:30 GMT 2022","Thu Mar 17 06:41:31 GMT 2022","573","webkit","showing_tooltips.spec.js","User can see informers while using interface","","","Question maker tooltip",""
